Регион,Рейтинг,Заявок,Тип организации,Название,Описание,Аудитория,Веб-сайт/VK,Статус
Москва,1,962,Проектный офис ПФКИ,ПФКИ Москва,Официальная площадка консультаций и методологической помощи при подготовке к грантовому конкурсу,Авторы творческих проектов,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Москва,1,962,Агентство креативных индустрий,Агентство креативных индустрий Moscow,Мост между творческим бизнесом и органами власти. Информация о финансовой поддержке,Творческие предприниматели,https://createdin.moscow/,Активен
Москва,1,962,Креативный кластер,Дизайн Завод + Хлебозавод,Интегрированное творческое пространство с мастерскими и выставками,Творческие профессионалы,https://kudago.com/msk/,Активен
Москва,1,962,Федеральный фонд культуры,Российский фонд культуры,Гранты в 8 направлениях культуры; 46 региональных отделений,НКО в сфере культуры,https://rcfoundation.ru/,Активен
Москва,1,962,Благотворительный фонд,БФ КУБ / Культура благотворительности,Поддержка культурных инициатив через благотворительность,Организации культуры; предприниматели,https://givingculture.ru/,Активен
Москва,1,962,Благотворительный фонд,Cosmoscow Foundation,Поддержка современного искусства и культурных инициатив,Деятели современного искусства,https://foundation.cosmoscow.com,Активен
Москва,1,962,Благотворительный фонд,Фонд русской культуры и искусства,Поддержка театра; образования; культуры; духовного развития,Театральные деятели; культурные проекты,https://nationalculture.ru/en/,Активен
Москва,1,962,Благотворительный фонд,Фонд поддержки культуры «Прокультуру»,Поддержка музейной и просветительской деятельности,НКО в сфере культуры; авторские инициативы,https://fabculture.org/,Активен
Москва,1,962,Бизнес-инкубатор,Бизнес-инкубатор ВШЭ,Хакатоны; форумы; встречи экспертов; гранты для стартапов,Стартапы; молодые предприниматели,https://inc.hse.ru/,Активен
Москва,1,962,Бизнес-инкубатор,РЭУ им. Г.В. Плеханова - Бизнес-инкубатор,Поддержка студенческих стартапов; консультирование по грантам,Студенты; молодые предприниматели,https://www.rea.ru/,Активен
Москва,1,962,Центр поддержки МСП,ГБУ "Малый бизнес Москвы",Поддержка МСП; консультирование; гранты,Малое и среднее предпринимательство,https://msksmb.ru/,Активен
Омск,2,544,Проектный офис ПФКИ,ПФКИ Омск,Помощь при подготовке заявок на грантовый конкурс,Творческие команды области,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Омск,2,544,Агентство развития,Агентство развития креативных индустрий Омска,Поддержка творческих проектов,Креативные предприниматели,https://vk.com/creative_rb,Активно
Омск,2,544,Ресурсный центр,Ресурсный центр НКО Омска,Поддержка гражданских инициатив и социальных проектов,НКО региона,Контакты уточнить,Активен
Башкортостан,3,409,Проектный офис ПФКИ,ПФКИ Башкортостан,Консультационная помощь и обучение проектированию,Творческие инициативы,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Башкортостан,3,409,Бизнес-шериф,Бизнес-шерифы Башкортостана,✨ ГЛАВНЫЙ ПРИОРИТЕТ: Система поддержки МСП на местах; помощь в грантах,Предприниматели (включая творческих),https://biznestur.bashkortostan.ru/,Активна сеть
Башкортостан,3,409,Агентство развития МСП,Агентство развития МСП / "Мой бизнес",Консультирование и обучение предпринимателей,Малое и среднее предпринимательство,https://cmbrb.ru/,Активно
Башкортостан,3,409,Ассоциация предпринимателей,Ассоциация предпринимателей Башкортостана (АПРБ),Продвижение предпринимательства; программы развития МСП,Все категории предпринимателей,https://asprb.ru/,Активна
Башкортостан,3,409,Фонд развития МСП,Фонд развития и поддержки малого бизнеса,Финансовая и консультационная поддержка,Предприниматели,https://fondmb.ru/,Активен
Белгородская область,4,407,Проектный офис ПФКИ,ПФКИ Белгородская область,Консультирование творческих команд,Авторы проектов культуры,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
